�ɺt�W��,����,����,�q�v�W��,IMDB�Τ�벼�ƶq,�w��,�W�u���,IMDB����,�q�vFB������,�y��,��a
Warren Beatty,72,103738726,Dick Tracy?,47819,100000000,1990,6.1,2000,English,USA
John McTiernan,152,69304264,The Thomas Crown Affair?,73068,48000000,1999,6.8,0,English,USA
Penny Marshall,89,29781453,Riding in Cars with Boys?,22447,48000000,2001,6.4,0,English,USA
Ted Kotcheff,145,,First Blood?,172489,14000000,1982,7.7,0,English,USA
Andrei Tarkovsky,144,,Solaris?,54057,1000000,1972,8.1,0,Russian,Soviet Union
Paul Bolger,93,15519841,Happily N'Ever After?,8693,47000000,2006,4.5,261,English,USA
Stephen Frears,46,5600000,Mary Reilly?,11913,47000000,1996,5.8,616,English,USA
P.J. Hogan,84,126805112,My Best Friend's Wedding?,98199,46000000,1997,6.3,0,English,USA
Joe Roth,142,93607673,America's Sweethearts?,47573,48000000,2001,5.7,881,English,USA
Christopher Nolan,185,67263182,Insomnia?,218771,46000000,2002,7.2,0,English,USA
Jonathan Frakes,143,92001027,Star Trek: First Contact?,97838,45000000,1996,7.6,3000,English,USA
Jimmy Hayward,178,10539414,Jonah Hex?,45729,47000000,2010,4.7,0,English,USA
Edward Zwick,65,58918501,Courage Under Fire?,40126,46000000,1996,6.6,975,English,USA
Tom Shadyac,73,181395380,Liar Liar?,220392,45000000,1997,6.8,0,English,USA
Brad Furman,72,14946229,The Infiltrator?,2581,25000000,2016,7.3,0,English,UK
Terence Young,10,,Inchon?,491,48000000,1981,2.7,115,English,South Korea
Brian Levant,35,130512915,The Flintstones?,60884,45000000,1994,4.8,0,English,USA
Olivier Megaton,358,139852971,Taken 2?,238671,45000000,2012,6.3,63000,English,France
David Zucker,151,110000082,Scary Movie 3?,111526,48000000,2003,5.5,0,English,USA
Donald Petrie,140,106807667,Miss Congeniality?,137377,45000000,2000,6.2,0,English,USA
Eric Brevig,201,101702060,Journey to the Center of the Earth?,85323,45000000,2008,5.8,0,English,USA
Garry Marshall,77,95149435,The Princess Diaries 2: Royal Engagement?,53687,40000000,2004,5.7,1000,English,USA
Alan J. Pakula,43,100768056,The Pelican Brief?,59569,45000000,1993,6.5,0,English,USA
Joel Schumacher,39,92115211,The Client?,45798,45000000,1994,6.7,1000,English,USA
Rob Reiner,207,93452056,The Bucket List?,184795,45000000,2007,7.4,22000,English,USA
Phillip Noyce,47,83287363,Patriot Games?,81442,45000000,1992,6.9,0,English,USA
Robert Luketic,132,82931301,Monster-in-Law?,43358,60000000,2005,5.5,0,English,Germany
Denis Villeneuve,454,60962878,Prisoners?,383591,46000000,2013,8.1,86000,English,USA
Antoine Fuqua,109,76261036,Training Day?,305929,45000000,2001,7.7,0,English,USA
Dean Parisot,213,71423726,Galaxy Quest?,123558,45000000,1999,7.3,19000,English,USA
Keenen Ivory Wayans,127,71277420,Scary Movie 2?,119590,45000000,2001,5.2,0,English,USA
James Bobin,398,88625922,The Muppets?,75176,45000000,2011,7.1,26000,English,USA
Stephen Norrington,184,70001065,Blade?,191437,45000000,1998,7.1,0,English,USA
Thomas Carter,127,67253092,Coach Carter?,92702,30000000,2005,7.2,0,English,USA
Roger Michell,167,66790248,Changing Lanes?,57281,45000000,2002,6.5,0,English,USA
Luis Llosa,119,65557989,Anaconda?,73539,45000000,1997,4.6,0,English,USA
David McNally,155,60786269,Coyote Ugly?,90539,45000000,2000,5.6,0,English,USA
Richard Curtis,218,59365105,Love Actually?,318634,45000000,2003,7.7,52000,English,UK
John Lasseter,117,162792677,A Bug's Life?,211226,120000000,1998,7.2,0,English,USA
Albert Hughes,208,31598308,From Hell?,124765,35000000,2001,6.8,0,English,USA
Luis Llosa,38,57362581,The Specialist?,50148,45000000,1994,5.4,0,English,Peru
Ron Shelton,48,53854588,Tin Cup?,37911,45000000,1996,6.3,1000,English,USA
Melville Shavelson,8,,"Yours, Mine and Ours?",5888,2500000,1968,7.2,0,English,USA
Jesse Dylan,94,52580895,Kicking & Screaming?,30255,45000000,2005,5.6,743,English,USA
Garth Jennings,276,51019112,The Hitchhiker's Guide to the Galaxy?,155745,50000000,2005,6.8,10000,English,USA
Joel Zwick,59,48114556,Fat Albert?,9380,26000000,2004,4.3,531,English,USA
Russell Mulcahy,216,50648679,Resident Evil: Extinction?,149549,45000000,2007,6.3,0,English,France
Frank Coraci,173,46280507,Blended?,87165,40000000,2014,6.5,12000,English,USA
Wayne Wang,99,38360195,Last Holiday?,21215,45000000,2006,6.4,0,English,USA
Curtis Hanson,42,46815748,The River Wild?,32544,45000000,1994,6.3,0,English,USA
Frank Oz,25,35617599,The Indian in the Cupboard?,20688,45000000,1995,5.9,0,English,USA
Oliver Stone,339,47307550,Savages?,104301,45000000,2012,6.5,28000,English,USA
David R. Ellis,127,32003620,Cellular?,79141,25000000,2004,6.5,2000,English,USA
Peter Howitt,122,27972410,Johnny English?,114692,35000000,2003,6.1,2000,English,UK
John A. Davis,105,28133159,The Ant Bully?,30055,50000000,2006,5.9,593,English,USA
David Lynch,144,27400000,Dune?,97087,40000000,1984,6.6,11000,English,USA
Julie Taymor,156,24343673,Across the Universe?,91860,45000000,2007,7.4,14000,English,USA
Sam Mendes,323,22877808,Revolutionary Road?,152591,35000000,2008,7.3,0,English,USA
Richard Donner,199,36883539,16 Blocks?,112769,52000000,2006,6.6,0,English,Germany
Mathieu Kassovitz,164,22531698,Babylon A.D.?,81523,70000000,2008,5.6,0,English,France
John Gray,39,20400913,The Glimmer Man?,15455,45000000,1996,5.3,451,English,USA
Harold Ramis,43,20101861,Multiplicity?,24757,45000000,1996,6,0,English,USA
John Schultz,82,25200412,Aliens in the Attic?,16580,45000000,2009,5.4,916,English,USA
Sean Penn,150,19719930,The Pledge?,42621,45000000,2001,6.8,0,English,USA
Susan Stroman,168,19377727,The Producers?,35140,45000000,2005,6.4,0,English,USA
Pete Travis,432,13401683,Dredd?,203461,35000000,2012,7.1,46000,English,UK
Simon Wincer,60,17300889,The Phantom?,27648,45000000,1996,4.9,0,English,Australia
Billy Bob Thornton,85,15527125,All the Pretty Horses?,11388,57000000,2000,5.8,652,English,USA
Oliver Stone,83,13560960,Nixon?,23996,50000000,1995,7.1,915,English,USA
Roman Polanski,343,15523168,The Ghost Writer?,132423,45000000,2010,7.2,15000,English,France
Stephen Sommers,106,11146409,Deep Rising?,26551,45000000,1998,6,0,English,USA
Spike Lee,158,7916887,Miracle at St. Anna?,15697,45000000,2008,6,0,English,USA
Yimou Zhang,189,6565495,Curse of the Golden Flower?,36455,45000000,2006,7,0,Mandarin,China
Danny Pang,125,15279680,Bangkok Dangerous?,48245,40000000,2008,5.4,0,English,USA
Barry Sonnenfeld,87,7262288,Big Trouble?,17307,40000000,2002,6.5,892,English,USA
Mike Newell,115,4584886,Love in the Time of Cholera?,19114,45000000,2007,6.4,0,English,USA
,23,,The Returned?            ,15762,,,8.3,17000,French,France
George P. Cosmatos,24,2154540,Shadow Conspiracy?,3803,45000000,1997,4.9,68,English,USA
Oliver Parker,152,8129455,Johnny English Reborn?,89568,45000000,2011,6.3,17000,English,USA
Lawrence Kasanoff,12,,Foodfight!?,4377,65000000,2012,1.7,0,English,USA
Ben Affleck,656,136019448,Argo?,452465,44500000,2012,7.7,89000,English,USA
Andrew Davis,119,183875760,The Fugitive?,213668,44000000,1993,7.8,0,English,USA
Andy Tennant,161,67061228,The Bounty Hunter?,96565,40000000,2010,5.5,0,English,USA
Barry Levinson,73,53300852,Sleepers?,154487,44000000,1996,7.5,0,English,USA
George P. Cosmatos,96,150415432,Rambo: First Blood Part II?,117606,44000000,1985,6.4,0,English,USA
Brian Gibson,28,44834712,The Juror?,13995,44000000,1996,5.6,353,English,USA
Norman Ferguson,105,84300000,Pinocchio?,90360,2600000,1940,7.5,0,English,USA
Michael Cimino,102,1500000,Heaven's Gate?,9830,44000000,1980,6.8,1000,English,USA
Len Wiseman,206,62318875,Underworld: Evolution?,156225,50000000,2006,6.8,0,English,USA
Paul McGuigan,159,5773519,Victor Frankenstein?,28618,40000000,2015,6,11000,English,USA
Gus Van Sant,137,51768623,Finding Forrester?,73006,43000000,2000,7.3,0,English,USA
Betty Thomas,116,37035515,28 Days?,34597,43000000,2000,6,0,English,USA
Louis Leterrier,177,24520892,Unleashed?,85198,45000000,2005,7,0,English,France
Roger Kumble,99,24430272,The Sweetest Thing?,46158,43000000,2002,5.1,0,English,USA
Sydney Pollack,56,158348400,The Firm?,88844,42000000,1993,6.8,0,English,USA
Burr Steers,117,31136950,Charlie St. Cloud?,47364,44000000,2010,6.5,0,English,USA
Simon West,252,29113588,The Mechanic?,117999,40000000,2011,6.6,16000,English,USA
Phil Lord,375,138447667,21 Jump Street?,408302,42000000,2012,7.2,39000,English,USA
Roger Michell,150,116006080,Notting Hill?,203269,42000000,1999,7,11000,English,UK
Peter Lord,187,106793915,Chicken Run?,140499,45000000,2000,7,0,English,UK
John Hamburg,108,87856565,Along Came Polly?,106909,42000000,2004,5.9,0,English,USA
Reginald Hudlin,21,70100000,Boomerang?,20183,40000000,1992,5.4,0,English,USA
Paul Feig,270,159578352,The Heat?,133177,43000000,2013,6.6,24000,English,USA
Joseph L. Mankiewicz,72,57750000,Cleopatra?,21554,31115000,1963,7,0,English,UK
Frank Coraci,154,45290318,Here Comes the Boom?,74169,42000000,2012,6.5,17000,English,USA
Carl Franklin,114,41543207,High Crimes?,30077,42000000,2002,6.3,893,English,USA
Barbra Streisand,27,41252428,The Mirror Has Two Faces?,11453,42000000,1996,6.5,0,English,USA
Mark Pellington,166,35228696,The Mothman Prophecies?,63677,32000000,2002,6.5,0,English,USA
Larry Charles,288,59992760,Brüno?,119622,42000000,2009,5.8,0,English,USA
John Glen,117,34667015,Licence to Kill?,74009,32000000,1989,6.6,0,English,UK
Catherine Hardwicke,291,37652565,Red Riding Hood?,91151,42000000,2011,5.4,20000,English,USA
John Herzfeld,151,24375436,15 Minutes?,42547,42000000,2001,6.1,748,English,USA
Annabel Jankel,36,20915465,Super Mario Bros.?,38203,42000000,1993,4,0,English,UK
Andrew Niccol,168,24127895,Lord of War?,248123,50000000,2005,7.6,10000,English,USA
Yimou Zhang,283,84961,Hero?,149414,31000000,2002,7.9,0,Mandarin,China
Julie Anne Robinson,127,26404753,One for the Money?,34203,40000000,2012,5.3,19000,English,USA
Evan Goldberg,293,6105175,The Interview?,247020,44000000,2014,6.6,50000,English,USA
Sngmoo Lee,95,5664251,The Warrior's Way?,22309,45000000,2010,6.3,0,English,New Zealand
,4,,McHale's Navy?            ,1558,,,7.5,455,English,USA
Jean-Pierre Jeunet,213,1260917,Micmacs?,24657,27000000,2009,7.2,0,French,France
Curtis Hanson,119,116724075,8 Mile?,187181,41000000,2002,7,0,English,USA
Jamel Debbouze,9,,Animal Kingdom: Let's go Ape?,590,,2015,4.9,161,French,France
Brian Helgeland,167,56083966,A Knight's Tale?,137003,65000000,2001,6.9,0,English,USA
Gordon Chan,98,22108977,The Medallion?,29861,41000000,2003,5.2,505,English,Hong Kong
M. Night Shyamalan,234,293501675,The Sixth Sense?,704766,40000000,1999,8.1,14000,English,USA
Asger Leth,258,18600911,Man on a Ledge?,125198,42000000,2012,6.6,11000,English,USA
David Frankel,108,7204138,The Big Year?,34809,41000000,2011,6.2,11000,English,USA
John G. Avildsen,81,90800000,The Karate Kid?,126907,8000000,1984,7.2,0,English,USA
David O. Russell,538,150117807,American Hustle?,358416,40000000,2013,7.3,63000,English,USA
Anne Fletcher,224,163947053,The Proposal?,227824,40000000,2009,6.7,10000,English,USA
Bruce Beresford,129,116735231,Double Jeopardy?,56646,70000000,1999,6.4,0,English,USA
Robert Zemeckis,125,118500000,Back to the Future Part II?,340085,40000000,1989,7.8,12000,English,USA
Luc Besson,433,126546825,Lucy?,327367,40000000,2014,6.4,83000,English,France
Sam Taylor-Johnson,362,166147885,Fifty Shades of Grey?,220020,40000000,2015,4.1,101000,English,USA
Robert Rodriguez,93,111760631,Spy Kids 3-D: Game Over?,40227,38000000,2003,4.1,681,English,USA
Joel Schumacher,71,108706165,A Time to Kill?,99558,40000000,1996,7.4,0,English,USA
Shawn Levy,104,138614544,Cheaper by the Dozen?,75152,40000000,2003,5.8,0,English,USA
Peter Berg,319,125069696,Lone Survivor?,203963,40000000,2013,7.6,58000,English,USA
Penny Marshall,41,107458785,A League of Their Own?,71754,40000000,1992,7.2,0,English,USA
James Wan,300,102310175,The Conjuring 2?,64989,40000000,2016,7.8,40000,English,USA
David Fincher,556,96917897,The Social Network?,479453,40000000,2010,7.7,74000,English,USA
Ken Kwapis,161,93952276,He's Just Not That Into You?,132048,40000000,2009,6.4,12000,English,USA
David Zucker,151,90703745,Scary Movie 4?,93748,45000000,2006,5.1,1000,English,USA
Wes Craven,212,89138076,Scream 3?,98535,40000000,2000,5.5,0,English,USA
Robert Zemeckis,111,87666629,Back to the Future Part III?,283480,40000000,1990,7.4,0,English,USA
Etan Cohen,173,90353764,Get Hard?,85629,40000000,2015,6,14000,English,USA
Francis Ford Coppola,181,82522790,Bram Stoker's Dracula?,143835,40000000,1992,7.5,14000,English,USA
Nora Ephron,252,94125426,Julie & Julia?,79264,40000000,2009,7,13000,English,USA
Brian Helgeland,216,95001343,42?,66511,40000000,2013,7.5,28000,English,USA
Anthony Minghella,203,81292135,The Talented Mr. Ripley?,137891,40000000,1999,7.3,0,English,USA
Bobby Farrelly,218,86208010,Dumb and Dumber To?,97045,35000000,2014,5.7,55000,English,USA
Frank Marshall,118,81593527,Eight Below?,48806,40000000,2006,7.3,11000,English,USA
Nancy Meyers,241,75274748,The Intern?,130661,35000000,2015,7.2,54000,English,USA
Tim Story,119,90835030,Ride Along 2?,28621,40000000,2016,5.9,0,English,USA
Michael Mann,89,72455275,The Last of the Mohicans?,113068,40000000,1992,7.8,0,English,USA
Taylor Hackford,209,75305995,Ray?,110394,40000000,2004,7.7,0,English,USA
Frank Miller,374,74098862,Sin City?,656640,40000000,2005,8.1,13000,English,USA
Pete Travis,235,72266306,Vantage Point?,127528,40000000,2008,6.6,0,English,USA
John Hamburg,215,71347010,"I Love You, Man?",166194,40000000,2009,7.1,0,English,USA
Bobby Farrelly,109,70836296,Shallow Hal?,109445,40000000,2001,5.9,0,English,USA
Oliver Stone,125,70405498,JFK?,113472,40000000,1991,8,0,English,France
John Whitesell,65,70163652,Big Momma's House 2?,31968,40000000,2006,4.6,663,English,USA
Gore Verbinski,125,66808615,The Mexican?,87351,34000000,2001,6.1,2000,English,USA
Angelina Jolie Pitt,322,115603980,Unbroken?,103589,65000000,2014,7.2,35000,English,USA
Burr Steers,191,64149837,17 Again?,146899,20000000,2009,6.4,0,English,USA
Nick Cassavetes,191,83906114,The Other Woman?,104481,40000000,2014,6,16000,English,USA
David R. Ellis,221,66466372,The Final Destination?,75345,40000000,2009,5.2,0,English,USA
Steven Spielberg,459,72306065,Bridge of Spies?,178118,40000000,2015,7.6,55000,English,USA
John Moore,131,59068786,Behind Enemy Lines?,86902,40000000,2001,6.4,0,English,USA
Nicholas Stoller,222,60923325,Get Him to the Greek?,147317,,2010,6.4,12000,English,USA
Peter Chelsom,118,57887882,Shall We Dance?,35508,50000000,2004,6.1,0,English,USA
Joe Dante,100,53955614,Small Soldiers?,77415,40000000,1998,6.1,0,English,USA
Mark A.Z. Dippé,70,54967359,Spawn?,52805,40000000,1997,5.2,0,English,USA
Kevin Reynolds,138,54228104,The Count of Monte Cristo?,104991,35000000,2002,7.7,0,English,UK
Brad Furman,274,57981889,The Lincoln Lawyer?,173848,40000000,2011,7.3,25000,English,USA
Jaume Collet-Serra,349,61094903,Unknown?,210542,30000000,2011,6.9,29000,English,UK
Christopher Nolan,341,53082743,The Prestige?,844052,40000000,2006,8.5,49000,English,USA
Sean Anders,196,54414716,Horrible Bosses 2?,114294,42000000,2014,6.3,12000,English,USA
Cal Brunker,83,57011847,Escape from Planet Earth?,20615,40000000,2013,5.9,0,English,USA
Mel Gibson,283,50859889,Apocalypto?,236000,40000000,2006,7.8,14000,Maya,USA
John Glen,105,51185897,The Living Daylights?,69457,30000000,1987,6.7,0,English,UK
Nimród Antal,351,52000688,Predators?,171418,40000000,2010,6.4,17000,English,USA
Ivan Reitman,16,49851591,Legal Eagles?,7900,40000000,1986,5.9,263,English,USA
David Koepp,195,47781388,Secret Window?,147504,40000000,2004,6.6,0,English,USA
Alejandro Agresti,175,52320979,The Lake House?,114321,40000000,2006,6.8,0,English,USA
Iain Softley,193,47806295,The Skeleton Key?,87447,43000000,2005,6.5,0,English,USA
Peter Hedges,169,51853450,The Odd Life of Timothy Green?,37398,25000000,2012,6.6,11000,English,USA
Paul Weiland,128,46012734,Made of Honor?,54421,40000000,2008,5.8,3000,English,USA
Clint Eastwood,249,47034272,Jersey Boys?,25465,40000000,2014,6.9,16000,English,USA
Francis Ford Coppola,91,45856732,The Rainmaker?,46221,40000000,1997,7.1,0,English,USA
Mathieu Kassovitz,207,59588068,Gothika?,89557,40000000,2003,5.8,0,English,USA
Steven Spielberg,77,44175394,Amistad?,56509,36000000,1997,7.2,0,English,USA
John McTiernan,25,45500797,Medicine Man?,17443,40000000,1992,6,694,English,USA
Colin Strause,211,41797066,Aliens vs. Predator: Requiem?,92789,40000000,2007,4.7,0,English,USA
Donald Petrie,19,38087756,Ri¢hie Ri¢h?,49612,40000000,1994,5.2,0,English,USA
Joan Chen,101,37752931,Autumn in New York?,20201,40000000,2000,5.5,0,English,USA
Marc Lawrence,175,50562555,Music and Lyrics?,81334,,2007,6.5,0,English,USA
Greg Mottola,342,37371385,Paul?,192462,40000000,2011,7,42000,English,USA
Anne Fletcher,147,37101011,The Guilt Trip?,30394,40000000,2012,5.8,0,English,USA
Wes Craven,420,38176892,Scream 4?,104119,40000000,2011,6.2,26000,English,USA
Joel Schumacher,138,36283504,8MM?,104564,40000000,1999,6.5,0,English,Germany
Oliver Stone,82,35183792,The Doors?,68159,38000000,1991,7.2,0,English,USA
Jake Kasdan,201,38543473,Sex Tape?,84382,40000000,2014,5.1,0,English,USA
Diane Keaton,82,36037909,Hanging Up?,10132,60000000,2000,4.7,390,English,Germany
Steven Quale,277,42575718,Final Destination 5?,83788,40000000,2011,5.9,20000,English,USA
Kelly Makin,90,33864342,Mickey Blue Eyes?,29968,40000000,1999,5.8,445,English,UK
Mimi Leder,157,33508922,Pay It Forward?,95860,40000000,2000,7.2,16000,English,USA
Bobby Farrelly,124,42071069,Fever Pitch?,36223,30000000,2005,6.2,0,English,USA
,3,,Arthur?            ,8495,,,7.4,301,English,Canada
Steven Brill,146,32853640,Drillbit Taylor?,50199,40000000,2008,5.7,702,English,USA
Seth MacFarlane,303,42615685,A Million Ways to Die in the West?,136093,40000000,2014,6.1,24000,English,USA
Russell Mulcahy,70,32055248,The Shadow?,18723,25000000,1994,6,0,English,USA
Stephen Daldry,283,31836745,Extremely Loud & Incredibly Close?,81298,40000000,2011,6.9,39000,English,USA
Roger Michell,212,30993544,Morning Glory?,58871,40000000,2010,6.5,0,English,USA
Jim Sheridan,98,30981850,Get Rich or Die Tryin'?,35834,40000000,2005,5,0,English,USA
Christian Duguay,110,30199105,The Art of War?,25346,40000000,2000,5.7,470,English,USA
Chris Columbus,146,29077547,Rent?,41685,40000000,2005,7,3000,English,USA
Chuck Russell,100,29374178,Bless the Child?,12093,40000000,2000,5.1,394,English,USA
Sam Weisman,62,28535768,The Out-of-Towners?,10446,40000000,1999,5.3,279,English,USA
John Frankenheimer,70,27663982,The Island of Dr. Moreau?,26051,40000000,1996,4.4,0,English,USA
Peter Hyams,107,27053815,The Musketeer?,12856,40000000,2001,4.7,299,English,Germany
Justin Chadwick,169,26814957,The Other Boleyn Girl?,84357,35000000,2008,6.7,0,English,UK
Pat O'Connor,94,25178165,Sweet November?,70292,40000000,2001,6.7,8000,English,USA
Stephen Hopkins,190,25117498,The Reaping?,37412,40000000,2007,5.7,0,English,USA
Martin Scorsese,112,32645,Mean Streets?,67797,500000,1973,7.4,0,English,USA
Penny Marshall,12,24332324,Renaissance Man?,13830,40000000,1994,6.1,680,English,USA
Olivier Megaton,201,36665854,Colombiana?,76498,40000000,2011,6.4,15000,English,France
Frederik Du Chau,34,22717758,The Magic Sword: Quest for Camelot?,11156,40000000,1998,6.2,0,English,USA
Michael Caton-Jones,104,22433915,City by the Sea?,21319,60000000,2002,6.2,416,English,USA
Irwin Winkler,55,22326247,At First Sight?,11232,60000000,1999,5.9,0,English,USA
Joseph Kahn,86,21176322,Torque?,23747,40000000,2004,4,0,English,USA
Harold Becker,50,20300000,City Hall?,16741,40000000,1996,6.2,309,English,USA
Paul Verhoeven,181,20302961,Showgirls?,49874,45000000,1995,4.6,0,English,France
Sofia Coppola,260,15962471,Marie Antoinette?,79892,40000000,2006,6.4,0,English,USA
Barbet Schroeder,40,14942422,Kiss of Death?,14226,40000000,1995,5.9,555,English,USA
Stephen Kay,102,14967182,Get Carter?,27305,40000000,2000,5.1,604,English,USA
J.A. Bayona,371,18996755,The Impossible?,145270,45000000,2012,7.6,54000,English,Spain
Elaine May,49,14375181,Ishtar?,8692,51000000,1987,4.2,754,English,USA
Wes Anderson,335,20999103,Fantastic Mr. Fox?,139114,40000000,2009,7.8,15000,English,USA
Stephen Herek,86,14448589,Life or Something Like It?,19364,40000000,2002,5.8,835,English,USA
John Carpenter,40,14358033,Memoirs of an Invisible Man?,17365,40000000,1992,5.9,630,English,USA
Jean-Pierre Jeunet,242,33201661,Amélie?,534262,77000000,2001,8.4,39000,French,France
Dennie Gordon,70,14018364,New York Minute?,17722,30000000,2004,4.8,849,English,USA
Charles Shyer,135,13395939,Alfie?,43442,60000000,2004,6.2,0,English,UK
Ken Kwapis,125,20113965,Big Miracle?,15231,40000000,2012,6.5,0,English,USA
Ulu Grosbard,54,13376506,The Deep End of the Ocean?,10413,40000000,1999,6.3,579,English,USA
William Malone,104,13208023,Feardotcom?,17309,42000000,2002,3.3,612,English,UK
Paul Weitz,157,13838130,Cirque du Freak: The Vampire's Assistant?,35990,40000000,2009,5.9,0,English,USA
Paul McGuigan,159,5773519,Victor Frankenstein?,28618,40000000,2015,6,11000,English,USA
Danny DeVito,78,9652000,Duplex?,46205,40000000,2003,5.8,0,English,USA
Malcolm D. Lee,88,12081447,Soul Men?,7794,,2008,6.5,866,English,USA
Jerry Jameson,32,7000000,Raise the Titanic?,2933,36000000,1980,4.7,328,English,UK
Mic Rodgers,75,10431220,Universal Soldier: The Return?,24216,24000000,1999,4.1,401,English,USA
Christian Alvart,219,10326062,Pandorum?,121432,33000000,2009,6.8,10000,English,Germany
Gary Fleder,83,6114237,Impostor?,19986,40000000,2001,6.2,892,English,USA
Christian Duguay,53,4835968,Extreme Ops?,4821,40000000,2002,4.5,158,English,UK
Jean-Marie Poiré,61,4777007,Just Visiting?,15130,40000000,2001,5.8,565,English,France
Danny Boyle,308,3675072,Sunshine?,190132,26000000,2007,7.3,15000,English,UK
Brian Robbins,70,18438149,A Thousand Words?,30842,40000000,2012,5.9,0,English,USA
Marc F. Adler,41,511920,Delgo?,2458,40000000,2008,4.4,211,English,USA
Pierre Morel,224,10640645,The Gunman?,28429,40000000,2015,5.8,0,English,USA
Geoffrey Sax,66,652526,Alex Rider: Operation Stormbreaker?,20201,40000000,2006,5.1,823,English,Germany
D.J. Caruso,253,80050171,Disturbia?,186982,20000000,2007,6.9,0,English,USA
Iain Softley,79,7564000,Hackers?,54650,20000000,1995,6.2,12000,English,USA
Richard Shepard,94,876671,The Hunting Party?,22010,25000000,2007,6.9,0,English,USA
Joel Coen,77,2869369,The Hudsucker Proxy?,65474,30000000,1994,7.3,0,English,UK
Peter Ho-Sun Chan,106,128978,The Warlords?,22897,40000000,2007,7.1,0,Mandarin,Hong Kong
Sergey Bodrov,30,77231,Nomad: The Warrior?,3322,25000000,2005,6,265,Kazakh,France
Joon-ho Bong,488,4563029,Snowpiercer?,181472,39200000,2013,7,58000,English,South Korea
Bibo Bergeron,63,,A Monster in Paris?,15790,25000000,2011,6.8,0,French,France
Jeff Nathanson,42,463730,The Last Shot?,3789,,2004,5.7,89,English,USA
Alex Proyas,118,50693162,The Crow?,136580,23000000,1994,7.6,15000,English,USA
S.S. Rajamouli,44,6498000,Baahubali: The Beginning?,62756,18026148,2015,8.4,21000,Telugu,India
Robert Schwentke,214,63411478,The Time Traveler's Wife?,114925,39000000,2009,7.1,13000,English,USA
Michael Lehmann,110,42640890,Because I Said So?,32412,,2007,5.6,0,English,USA
Rob Cohen,187,144512310,The Fast and the Furious?,272227,38000000,2001,6.7,14000,English,USA
Tim Burton,370,35287788,Frankenweenie?,73886,39000000,2012,7,25000,English,USA
Joss Whedon,276,25335935,Serenity?,242599,40000000,2005,8,14000,English,USA
Charles S. Dutton,76,5881504,Against the Ropes?,5917,39000000,2004,5.3,177,English,USA
Richard Lester,95,60000000,Superman III?,49934,39000000,1983,4.9,0,English,UK
Peter Segal,211,29802761,Grudge Match?,46480,40000000,2013,6.4,12000,English,USA
John Woo,160,626809,Red Cliff?,36894,553632000,2008,7.4,0,Mandarin,China
Andy Tennant,97,127214072,Sweet Home Alabama?,83786,38000000,2002,6.1,0,English,USA
Robert Luketic,174,88915214,The Ugly Truth?,163665,38000000,2009,6.5,9000,English,USA
Jonathan Lynn,23,30400000,Sgt. Bilko?,17810,39000000,1996,5.7,478,English,USA
Robert Rodriguez,103,85570368,Spy Kids 2: Island of Lost Dreams?,44885,38000000,2002,5.1,478,English,USA
David Carson,98,75668868,Star Trek: Generations?,60504,35000000,1994,6.6,0,English,USA
Kar-Wai Wong,273,6594136,The Grandmaster?,24557,38600000,2013,6.5,13000,Mandarin,Hong Kong
Francis Lawrence,279,58700247,Water for Elephants?,95367,38000000,2011,6.9,33000,English,USA
,22,,3rd Rock from the Sun?            ,38383,,,7.8,0,English,USA
Yuefeng Song,4,,Dragon Nest: Warriors' Dawn?,2169,40000000,2014,6.4,0,English,China
Norman Jewison,65,50668906,The Hurricane?,76016,38000000,1999,7.6,0,English,USA
Michael Apted,98,39177215,Enough?,30667,38000000,2002,5.6,0,English,USA
David Mirkin,116,40334024,Heartbreakers?,44168,35000000,2001,6.2,989,English,USA
Andy Fickman,76,71038190,Paul Blart: Mall Cop 2?,23473,30000000,2015,4.4,8000,English,USA
Luis Mandoki,106,24044532,Angel Eyes?,19686,38000000,2001,5.6,689,English,USA
John Pasquin,55,22770864,Joe Somebody?,8433,38000000,2001,5.5,168,English,USA
Roman Polanski,172,18653746,The Ninth Gate?,137722,38000000,1999,6.7,0,English,Spain
Michael Apted,47,17305211,Extreme Measures?,14066,38000000,1996,6.1,352,English,USA
Stephen Herek,107,16991902,Rock Star?,34592,57000000,2001,6.2,0,English,USA
Lee Daniels,323,47536959,Precious?,86955,10000000,2009,7.3,12000,English,USA
Ridley Scott,37,10300000,White Squall?,17859,38000000,1996,6.6,911,English,USA
John Carpenter,297,13782838,The Thing?,258078,15000000,1982,8.2,23000,English,USA
David Twohy,302,41997790,Riddick?,125305,38000000,2013,6.4,39000,English,USA
Jeb Stuart,38,6482195,Switchback?,9740,37000000,1997,6.4,389,English,USA
Steve Miner,31,623374,Texas Rangers?,4757,38000000,2001,5.2,474,English,USA
Gil Kenan,118,7871693,City of Ember?,52908,55000000,2008,6.5,0,English,USA
Paul Thomas Anderson,546,16377274,The Master?,105144,32000000,2012,7.1,27000,English,USA
David Leland,21,,Virgin Territory?,6691,38000000,2007,4.8,366,English,Italy
Gary Fleder,86,9589875,The Express?,16673,40000000,2008,7.3,0,English,USA
J Blakeson,194,34912982,The 5th Wave?,55617,38000000,2016,5.2,14000,English,USA
Ryan Coogler,437,109712885,Creed?,146708,35000000,2015,7.7,70000,English,USA
Ben Affleck,378,92173235,The Town?,280228,37000000,2010,7.6,29000,English,USA
